PKUID,ID,ROW,COL,SS,bay_heads_GHB_index
1,0,100,1,0.37101302202791,1
2,0,100,2,0.372842090670019,1
3,0,100,3,0.37518327543512,1
4,0,100,4,0.37881001830101,1
5,0,100,5,0.383125473745167,1
6,0,100,6,0.386594579555094,1
7,0,100,7,0.389925912953913,1
8,0,100,8,0.392297730781138,1
9,0,100,9,0.392938134260476,1
10,0,100,10,0.391959520522505,1
11,0,100,11,0.389819666743279,1
12,0,100,12,0.385830500628799,1
13,0,100,13,0.380398021545261,1
14,0,100,14,0.374505579937249,1
15,0,100,15,0.365258095785975,1
16,0,100,16,0.353617906570435,1
17,0,100,17,0.337692500092089,1
18,0,100,18,0.320956247393042,1
19,0,100,19,0.306001513265073,1
20,0,100,20,0.293286333791912,1
21,0,100,21,0.285867406986654,1
22,0,100,22,0.282536070793867,1
23,0,100,23,0.279273817781359,1
24,0,100,24,0.277140244841576,1
25,0,100,25,0.27571077272296,1
26,0,100,26,0.27598156966269,1
27,0,100,27,0.278072849381715,1
28,0,100,28,0.282752274535596,1
29,0,100,29,0.289463259279728,1
30,0,100,30,0.296460676006973,1
31,0,100,31,0.305220772512257,1
32,0,100,32,0.312677381094545,1
33,0,100,33,0.320159745868295,1
34,0,100,34,0.326138950418681,1
35,0,100,35,0.330118636600673,1
36,0,100,36,0.334027578122914,1
37,0,100,37,0.336504350882024,1
38,0,100,38,0.337417219299823,1
39,0,100,39,0.33702416298911,1
40,0,100,40,0.336832307744771,1
41,0,100,41,0.336781942285597,1
42,0,100,42,0.337273553013802,1
43,0,100,43,0.338321627117693,1
44,0,100,44,0.340314996894449,1
45,0,100,45,0.342305799014866,1
46,0,100,46,0.343239431269467,1
47,0,100,47,0.343222772236913,1
48,0,100,48,0.34273961558938,1
49,0,100,49,0.340928486082703,1
50,0,100,50,0.337876669596881,1
51,0,100,51,0.334271076600999,1
52,0,100,52,0.328622002154589,1
53,0,100,53,0.322380207944661,1
54,0,100,54,0.314828765578568,1
55,0,100,55,0.307179411873221,1
56,0,100,56,0.300314508378506,1
57,0,100,57,0.292568780016154,1
58,0,100,58,0.285239179152995,1
59,0,100,59,0.278579967096448,1
60,0,100,60,0.27028188155964,1
61,0,100,61,0.263194369152188,1
62,0,100,62,0.255400834837928,1
63,0,100,63,0.248028812697157,1
64,0,100,64,0.242261966923252,1
65,0,100,65,0.236507553607225,1
66,0,100,66,0.231202204013243,1
67,0,100,67,0.226901357062161,1
68,0,100,68,0.222204116173089,1
69,0,100,69,0.21807871456258,1
70,0,100,70,0.213474773569033,1
71,0,100,71,0.208814699901268,1
72,0,100,72,0.204508727882057,1
73,0,100,73,0.199465331155807,1
74,0,100,74,0.193622489459813,1
75,0,100,75,0.188147201901302,1
76,0,100,76,0.181826330721378,1
77,0,100,77,0.176600824808702,1
78,0,100,78,0.170319042168558,1
79,0,100,79,0.163485025288537,1
80,0,100,80,0.157560546183959,1
81,0,100,81,0.151018987875432,1
82,0,100,82,0.143870473373681,1
83,0,100,83,0.137569337384775,1
84,0,100,84,0.130159253138117,1
85,0,100,85,0.123129284707829,1
86,0,100,86,0.11471457045991,1
87,0,100,87,0.106719318195246,1
88,0,100,88,0.09975829673931,1
89,0,100,89,0.0916760242544115,1
90,0,100,90,0.0836407867027447,1
91,0,100,91,0.0762578713474795,1
92,0,100,92,0.0679272294510156,1
93,0,100,93,0.0612507194164209,1
94,0,100,94,0.0547758020693436,1
95,0,100,95,0.0481632431619801,1
96,0,100,96,0.0417880331515335,1
97,0,100,97,0.0327877664531115,1
98,0,100,98,0.0216054846678162,1
99,0,100,99,0.00720413504814132,1
100,0,100,100,0,1
101,0,99,1,0.391318730544299,1
102,0,99,2,0.392232241109014,1
103,0,99,3,0.393779235891998,1
104,0,99,4,0.396494254469872,1
105,0,99,5,0.399860067293048,1
106,0,99,6,0.40246692346409,1
107,0,99,7,0.404719681944698,1
108,0,99,8,0.40587451076135,1
109,0,99,9,0.40527601307258,1
110,0,99,10,0.402697862125933,1
111,0,99,11,0.399205690249801,1
112,0,99,12,0.393811654299498,1
113,0,99,13,0.387127205263823,1
114,0,99,14,0.380291905254126,1
115,0,99,15,0.370408500079066,1
116,0,99,16,0.359520469792187,1
117,0,99,17,0.345300083048642,1
118,0,99,18,0.330340734682977,1
119,0,99,19,0.317255818285048,1
120,0,99,20,0.304984065238386,1
121,0,99,21,0.295956247951835,1
122,0,99,22,0.289928731508553,1
123,0,99,23,0.283678856212646,1
124,0,99,24,0.278855250217021,1
125,0,99,25,0.274312827270478,1
126,0,99,26,0.27185809193179,1
127,0,99,27,0.272585646715015,1
128,0,99,28,0.276619284413755,1
129,0,99,29,0.283407801762223,1
130,0,99,30,0.290963218547404,1
