PKUID,ID,ROW,COL,SS,seawater_heads_GHB_GHB_INDEX
77,0,100,77,7.24063381552696,1
78,0,100,78,6.98308070003986,1
79,0,100,79,6.70288605242968,1
80,0,100,80,6.45998238772154,1
81,0,100,81,6.19177849590778,1
82,0,100,82,5.89868938922882,1
83,0,100,83,5.64034280180931,1
84,0,100,84,5.33652938902378,1
85,0,100,85,5.04830064624548,1
86,0,100,86,4.70329739153385,1
87,0,100,87,4.37549205124378,1
88,0,100,88,4.09009014442563,1
89,0,100,89,3.75871700048447,1
90,0,100,90,3.42927224934101,1
91,0,100,91,3.12657270208001,1
92,0,100,92,2.7850164026022,1
93,0,100,93,2.5112795047462,1
94,0,100,94,2.24580788239837,1
95,0,100,95,1.97469298355281,1
96,0,100,96,1.71330936998129,1
97,0,100,97,1.34429842513055,1
98,0,100,98,0.885824874509126,1
99,0,100,99,0.295369540566753,1
100,0,100,100,-1.01400241977535,1
101,0,99,1,16.0440679490566,1
102,0,99,2,16.0815220326185,1
103,0,99,3,16.144948631525,1
104,0,99,4,16.2562644034624,1
105,0,99,5,16.3942627906799,1
106,0,99,6,16.5011437833309,1
107,0,99,7,16.5935069918633,1
108,0,99,8,16.6408549249172,1
109,0,99,9,16.6163165271282,1
110,0,99,10,16.5106124579906,1
111,0,99,11,16.3674332499504,1
112,0,99,12,16.1462779343128,1
113,0,99,13,15.8722154051065,1
114,0,99,14,15.5919681042433,1
115,0,99,15,15.186748445034,1
116,0,99,16,14.7403392344713,1
117,0,99,17,14.1573033928871,1
118,0,99,18,13.5439700186253,1
119,0,99,19,13.0074885040522,1
120,0,99,20,12.5043466240168,1
121,0,99,21,12.1342061311007,1
122,0,99,22,11.8870778977871,1
123,0,99,23,11.6308330893517,1
124,0,99,24,11.4330653250217,1
125,0,99,25,11.2468259185553,1
126,0,99,26,11.1461817622185,1
127,0,99,27,11.1760114431381,1
128,0,99,28,11.34139059484,1
129,0,99,29,11.6197198927402,1
130,0,99,30,11.9294918477535,1
131,0,99,31,12.3370496481657,1
132,0,99,32,12.688426554203,1
133,0,99,33,13.0129897892475,1
134,0,99,34,13.2101639956236,1
135,0,99,35,13.2704537957907,1
136,0,99,36,13.2955331206322,1
137,0,99,37,13.3033729046583,1
138,0,99,38,13.3301077336073,1
139,0,99,39,13.3860205709934,1
140,0,99,40,13.4146730750799,1
141,0,99,41,13.423106521368,1
142,0,99,42,13.4464205950499,1
143,0,99,43,13.5065844208002,1
144,0,99,44,13.6189827919006,1
145,0,99,45,13.7393153607845,1
146,0,99,46,13.8161777853966,1
147,0,99,47,13.8563533872366,1
148,0,99,48,13.8549400568008,1
149,0,99,49,13.7727915495634,1
150,0,99,50,13.6133132278919,1
151,0,99,51,13.4283032864332,1
152,0,99,52,13.1694208234549,1
153,0,99,53,12.9050526320934,1
154,0,99,54,12.589973539114,1
155,0,99,55,12.2710061818361,1
156,0,99,56,11.9848583936691,1
157,0,99,57,11.6698423177004,1
158,0,99,58,11.3648307174444,1
159,0,99,59,11.086611777544,1
160,0,99,60,10.7523382753134,1
161,0,99,61,10.4754959046841,1
162,0,99,62,10.1753658354282,1
163,0,99,63,9.88763634860516,1
164,0,99,64,9.65524683892727,1
165,0,99,65,9.41261638700962,1
166,0,99,66,9.18145115673542,1
167,0,99,67,8.99085591733456,1
168,0,99,68,8.78479115664959,1
169,0,99,69,8.61677949130535,1
170,0,99,70,8.42858013510704,1
171,0,99,71,8.25070594251156,1
172,0,99,72,8.0939177274704,1
173,0,99,73,7.89665443450212,1
174,0,99,74,7.6842635050416,1
175,0,99,75,7.47946000099182,1
176,0,99,76,7.22401913255453,1
177,0,99,77,6.99042642116547,1
178,0,99,78,6.7041838914156,1
179,0,99,79,6.40171036124229,1
180,0,99,80,6.14792995154858,1
181,0,99,81,5.87854374200106,1
182,0,99,82,5.57721038162708,1
183,0,99,83,5.3012455701828,1
184,0,99,84,4.97576791793108,1
185,0,99,85,4.6774138212204,1
186,0,99,86,4.34933003038168,1
187,0,99,87,4.05790657922626,1
188,0,99,88,3.81104104593396,1
189,0,99,89,3.52754136174917,1
190,0,99,90,3.25334208831191,1
191,0,99,91,2.98306788131595,1
192,0,99,92,2.66050123423338,1
193,0,99,93,2.38803065940738,1
194,0,99,94,2.0937803145498,1
195,0,99,95,1.73508388549089,1
196,0,99,96,1.36564208753407,1
197,0,99,97,0.846080065704882,1
198,0,99,98,0.350289266112668,1
199,0,99,99,-0.720109394111205,1
200,0,99,100,-2.42369274422526,1
201,0,98,1,16.8699811697006,1
202,0,98,2,16.8635654747486,1
203,0,98,3,16.8927173912525,1
204,0,98,4,16.9665479958057,1
205,0,98,5,17.0677596330643,1
206,0,98,6,17.1428671181202,1
207,0,98,7,17.2014017105103,1
208,0,98,8,17.2055843472481,1
209,0,98,9,17.1267672777176,1
210,0,98,10,16.9436752796173,1
211,0,98,11,16.7368121743202,1
212,0,98,12,16.4504749774933,1
213,0,98,13,16.1195799410343,1
214,0,98,14,15.8001923412085,1
215,0,98,15,15.3845847845078,1
216,0,98,16,14.9751195907593,1
217,0,98,17,14.4723719656467,1
218,0,98,18,13.9579801112413,1
219,0,98,19,13.5148496478796,1
220,0,98,20,13.0453260093927,1
221,0,98,21,12.615331619978,1
222,0,98,22,12.2479916065931,1
223,0,98,23,11.8476482927799,1
224,0,98,24,11.5213246792555,1
225,0,98,25,11.1847916245461,1
226,0,98,26,10.9442207962275,1
227,0,98,27,10.9041818380356,1
228,0,98,28,11.0235266834497,1
229,0,98,29,11.2900176346302,1
230,0,98,30,11.6195937842131,1
231,0,98,31,12.0867004543543,1
232,0,98,32,12.5118238031864,1
233,0,98,33,12.8769569993019,1
234,0,98,34,13.0035319626331,1
235,0,98,35,12.8881490826607,1
236,0,98,36,12.7002228796482,1
237,0,98,37,12.5599284470081,1
238,0,98,38,12.5485735833645,1
239,0,98,39,12.6727788597345,1
240,0,98,40,12.7584844082594,1
241,0,98,41,12.8218480944633,1
242,0,98,42,12.8895047456026,1
243,0,98,43,12.9845317751169,1
244,0,98,44,13.1347518414259,1
245,0,98,45,13.3039141595364,1
246,0,98,46,13.4373936206102,1
247,0,98,47,13.5515521019697,1
248,0,98,48,13.5906926542521,1
249,0,98,49,13.5082185268402,1
250,0,98,50,13.3119430094957,1
251,0,98,51,13.0862320363522,1
252,0,98,52,12.8001681119204,1
253,0,98,53,12.5243609845638,1
254,0,98,54,12.2060925215483,1
255,0,98,55,11.8902148008347,1
256,0,98,56,11.6060951650143,1
257,0,98,57,11.3104838579893,1
258,0,98,58,11.0007642805576,1
259,0,98,59,10.7103917449713,1
260,0,98,60,10.3933948427439,1
261,0,98,61,10.1360151320696,1
262,0,98,62,9.85401827096939,1
263,0,98,63,9.57750178873539,1
264,0,98,64,9.34953671693802,1
265,0,98,65,9.10403718054295,1
266,0,98,66,8.8622579574585,1
267,0,98,67,8.66083313524723,1
268,0,98,68,8.44510036706924,1
269,0,98,69,8.27648955583572,1
270,0,98,70,8.09587239474058,1
271,0,98,71,7.9274036064744,1
272,0,98,72,7.77661611139774,1
273,0,98,73,7.59608814865351,1
274,0,98,74,7.42066772282124,1
275,0,98,75,7.2438495233655,1
276,0,98,76,6.99649001657963,1
277,0,98,77,6.73772846162319,1
278,0,98,78,6.41805701702833,1
279,0,98,79,6.10061866044998,1
280,0,98,80,5.84399032592773,1
281,0,98,81,5.56369061022997,1
282,0,98,82,5.24434493482113,1
283,0,98,83,4.95108247548342,1
284,0,98,84,4.61091332882643,1
285,0,98,85,4.30953788012266,1
286,0,98,86,3.9957882091403,1
287,0,98,87,3.74393617361784,1
288,0,98,88,3.54291592910886,1
289,0,98,89,3.30311765149236,1
290,0,98,90,3.04274288192391,1
291,0,98,91,2.78802195191383,1
292,0,98,92,2.47322138398886,1
293,0,98,93,2.18800347670913,1
