PKUID,ID,ROW,COL,BORDER,ACTIVE,TOP,BOTTOM,THICKNESS,STRT,KX,KY,KZ,SS,SY,NT,NE,WETDRY
54,0,100,54,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
55,0,100,55,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
56,0,100,56,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
57,0,100,57,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
58,0,100,58,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
59,0,100,59,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
60,0,100,60,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
61,0,100,61,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
62,0,100,62,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
63,0,100,63,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
64,0,100,64,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
65,0,100,65,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
66,0,100,66,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
67,0,100,67,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
68,0,100,68,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
69,0,100,69,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
70,0,100,70,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
71,0,100,71,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
72,0,100,72,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
73,0,100,73,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
74,0,100,74,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
75,0,100,75,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
76,0,100,76,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
77,0,100,77,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
78,0,100,78,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
79,0,100,79,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
80,0,100,80,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
81,0,100,81,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
82,0,100,82,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
83,0,100,83,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
84,0,100,84,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
85,0,100,85,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
86,0,100,86,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
87,0,100,87,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
